Sample,Time,Line,Titre,Replicate,TCID,IU_mL,MNE,SE_MNE,SE_Percent,Fly_Line,Initial_V,IU_fly,log_IU_fly,log_MNE,Wolbacia_batch,Wolbachia_sample_order,Repeat,Progress_manual,Check_Angelique,Sample_file,WOL_MNE,WOL_SE_MNE,WOL_SE_Percent,Take_off_rpl,Amplification_rpl,Second_Der_Max_rpl,Rep_Take_off_rpl,Std_dev_rpl,Tech_Rep_rpl,Take_off_WOL,Amplification_WOL,Second_Der_Max_WOL,Rep_Take_off_WOL,Std_dev_WOL,Tech_Rep_WOL,Filter_Reason,Quality_Control
6,0,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,6_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,0.666452745,0.02663,4,21.9,1.69,26.3,22,0.1,2,18,1.71,22.1,18,0.1,2,NA,PASS
10,6,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,10_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,0.939438912,0.12674,13.49,22.3,1.68,26.9,22.2,0.1,1,17.4,1.65,21.3,17.6,0.3,1,NA,PASS
10,6,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,10_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,0.939438912,0.12674,13.49,22.1,1.82,26.6,22.2,0.1,2,17.8,1.76,21.8,17.6,0.3,2,NA,PASS
118,216,Wol,50,1,6.6,54940000,78.39453654,8.99959,11.48,Wol,50,3113327.833,14.95120275,4.361754238,1,1,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,106,Wol,50,3,5.625,5819000,6.22E-02,2.38E-03,3.82,Wol,50,329749.8118,12.7060895,-2.776869902,1,2,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,48,Wol,50,3,3.875,103500,8.17E-02,1.03E-02,12.65,Wol,50,5865.11523,8.676777408,-2.504599933,1,3,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,10,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,1,4,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,240,Wol,50,3,7.4,346600000,10.16208567,0.50271,4.95,Wol,50,19641052.55,16.79313245,2.318663703,1,5,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,144,Wol,50,3,2.6,5494,1.36E-02,1.04E-03,7.64,Wol,50,311.3327833,5.740862383,-4.294632409,1,6,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,312,Wol,50,3,6.6,54940000,5.469412413,0.74763,13.67,Wol,50,3113327.833,14.95120275,1.699171191,1,7,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,58,Wol,50,1,NA,NA,1.60E-02,1.86E-03,11.64,Wol,50,NA,NA,-4.137845674,1,8,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,216,Wol,50,3,6.75,77600000,14.90734277,0.94301,6.33,Wol,50,4397419.728,15.2965285,2.701853895,1,9,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,312,Wol,50,2,2.75,7760,4.30E-04,2.00E-05,4.95,Wol,50,439.7419728,6.086188129,-7.752170332,1,10,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,130,Wol,50,1,NA,NA,1.98E-03,6.00E-05,2.91,Wol,50,NA,NA,-6.226802701,1,11,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,408,Wol,50,2,6.5,43640000,24.38806713,1.39986,5.74,Wol,50,2472981.919,14.72093524,3.194093961,1,12,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,154,Wol,50,2,6,13800000,2.492701692,0.23511,9.43,Wol,50,782015.364,13.56962967,0.913367139,2,13,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,34,Wol,50,2,2.75,7760,5.78E-03,4.40E-04,7.64,Wol,50,439.7419728,6.086188129,-5.153868045,2,14,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,154,Wol,50,1,NA,NA,3.68E-02,3.69E-03,10.04,Wol,50,NA,NA,-3.302384961,2,15,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,264,Wol,50,1,6.6,54940000,NA,NA,NA,Wol,50,3113327.833,14.95120275,NA,2,16,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,360,Wol,50,2,6.25,24540000,5.397070191,0,0,Wol,50,1390627.321,14.14526551,1.685856249,2,17,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,144,Wol,50,1,3.6,54940,1.73E-02,1.29E-03,7.42,Wol,50,3113.327833,8.043447476,-4.054889296,2,18,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,96,Wol,50,3,4.5,436400,0.749908103,2.86E-02,3.82,Wol,50,24729.81919,10.11576505,-0.287804609,2,19,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,336,Wol,50,1,6.4,34660000,6.258035579,0.39587,6.33,Wol,50,1964105.255,14.49054736,1.833866331,2,20,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,168,Wol,50,1,2.6,5494,1.66E-02,4.10E-04,2.47,Wol,50,311.3327833,5.740862383,-4.095981055,2,21,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,192,Wol,50,2,7.6897,675400000,9.431783385,0.23329,2.47,Wol,50,38273418.61,17.46026618,2.244085197,2,22,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,226,Wol,50,2,7.6,549400000,16.62804626,2.05646,12.37,Wol,50,31133278.33,17.25378785,2.811090804,2,23,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,250,Wol,50,1,7.1552,197300000,45.22687101,1.31659,2.91,Wol,50,11180552.99,16.22968649,3.811691402,2,24,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,202,Wol,50,3,3.75,77600,4.06E-02,2.37E-03,5.82,Wol,50,4397.419728,8.388773222,-3.203258677,3,25,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,384,Wol,50,2,6.75,77600000,5.424796342,0.20723,3.82,Wol,50,4397419.728,15.2965285,1.690980358,3,26,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,192,Wol,50,3,7.5,436400000,3.972969123,0.49135,12.37,Wol,50,24729819.19,17.02352033,1.379513705,3,27,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,3,28,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,264,Wol,50,2,7.25,245400000,28.51113962,0.70522,2.47,Wol,50,13906273.21,16.44785061,3.350294875,3,29,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,178,Wol,50,3,6.6,54940000,14.8311513,2.55389,17.22,Wol,50,3113327.833,14.95120275,2.696729786,3,30,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,106,Wol,50,1,6.5,43640000,1.425507148,8.18E-02,5.74,Wol,50,2472981.919,14.72093524,0.354527644,3,31,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,202,Wol,50,1,5.6,5494000,1.159856164,4.43E-02,3.82,Wol,50,311332.7833,12.64861766,0.148296001,3,32,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,58,Wol,50,3,2.75,7760,3.94E-03,4.70E-04,11.9,Wol,50,439.7419728,6.086188129,-5.536684156,3,33,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,168,Wol,50,2,7.1552,197300000,19.88036711,0.75943,3.82,Wol,50,11180552.99,16.22968649,2.989732667,3,34,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,10,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,3,35,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,288,Wol,50,1,6.5,43640000,14.42485804,1.14981,7.97,Wol,50,2472981.919,14.72093524,2.668952971,3,36,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,178,Wol,50,1,6.25,24540000,8.072356022,0.61673,7.64,Wol,50,1390627.321,14.14526551,2.088445388,4,37,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,34,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,4,38,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,144,Wol,50,2,7.5,436400000,8.158761636,0.60542,7.42,Wol,50,24729819.19,17.02352033,2.099092397,4,39,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,72,Wol,50,1,6.125,18400000,0.278446021,1.62E-02,5.82,Wol,50,1042687.152,13.85731174,-1.278531059,4,40,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,34,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,4,41,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,82,Wol,50,3,NA,NA,0.163074815,2.25E-02,13.81,Wol,50,NA,NA,-1.813546196,4,42,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,48,Wol,50,1,2.7,6916,3.09E-02,3.54E-03,11.46,Wol,50,391.9143665,5.971043363,-3.478570646,4,43,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,72,Wol,50,3,5,1380000,0.328758686,9.57E-03,2.91,Wol,50,78201.5364,11.26704457,-1.112431276,4,44,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,58,Wol,50,2,5.5,4364000,2.568733807,0.43634,16.99,Wol,50,247298.1919,12.41835014,0.943413095,4,45,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,384,Wol,50,1,6.75,77600000,12.36455812,0.47233,3.82,Wol,50,4397419.728,15.2965285,2.514834164,4,46,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,336,Wol,50,3,6.4,34660000,5.013894297,0.95766,19.1,Wol,50,1964105.255,14.49054736,1.612212918,4,47,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,240,Wol,50,1,8,1380000000,12.18247228,0.46537,3.82,Wol,50,78201536.4,18.17479985,2.499998221,4,48,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,82,Wol,50,1,4.6364,597400,0.162176652,1.29E-02,7.97,Wol,50,33853.33177,10.4297927,-1.819069096,5,49,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,336,Wol,50,2,6.5,43640000,2.005844109,4.96E-02,2.47,Wol,50,2472981.919,14.72093524,0.696064974,5,50,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,288,Wol,50,2,6.6,54940000,10.05822557,0.74636,7.42,Wol,50,3113327.833,14.95120275,2.308390764,5,51,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,96,Wol,50,2,5.75,7760000,1.814127661,0.28921,15.94,Wol,50,439741.9728,12.99394341,0.595604725,5,52,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,360,Wol,50,1,7.25,245400000,10.16613902,0.25146,2.47,Wol,50,13906273.21,16.44785061,2.319062494,5,53,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,250,Wol,50,2,7.3636,318800000,1.998256063,0.18847,9.43,Wol,50,18065688.26,16.70952502,0.692274832,5,54,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,216,Wol,50,2,5.6,5494000,0.252848524,4.13E-02,16.34,Wol,50,311332.7833,12.64861766,-1.374964689,5,55,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,192,Wol,50,1,3.6,54940,4.16E-02,5.29E-03,12.71,Wol,50,3113.327833,8.043447476,-3.179084971,5,56,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,96,Wol,50,1,5.75,7760000,2.876652183,0.10989,3.82,Wol,50,439741.9728,12.99394341,1.056627182,5,57,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,130,Wol,50,3,7,138000000,4.484858153,0.45015,10.04,Wol,50,7820153.64,15.87221476,1.500706868,5,58,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,106,Wol,50,2,NA,NA,2.10E-03,2.20E-04,10.31,Wol,50,NA,NA,-6.163619353,5,59,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,120,Wol,50,2,4.5,436400,0.782115418,9.89E-02,12.65,Wol,50,24729.81919,10.11576505,-0.245752957,5,60,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,250,Wol,50,3,8.1552,1970000000,4.918487212,0.24332,4.95,Wol,50,111805529.9,18.53227158,1.593001006,6,61,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,226,Wol,50,1,7.1552,197300000,2.112012799,8.07E-02,3.82,Wol,50,11180552.99,16.22968649,0.747641426,6,62,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,6,63,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,312,Wol,50,1,7,138000000,35.97438123,6.1108,16.99,Wol,50,7820153.64,15.87221476,3.582807053,6,64,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,154,Wol,50,3,6.25,24540000,6.064708072,1.06737,17.6,Wol,50,1390627.321,14.14526551,1.802486408,6,65,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,168,Wol,50,3,4.875,1035000,2.047482219,0.24373,11.9,Wol,50,58651.1523,10.9793625,0.716610853,6,66,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,48,Wol,50,2,2.75,7760,3.86E-03,1.00E-04,2.47,Wol,50,439.7419728,6.086188129,-5.556855972,6,67,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,24,Wol,50,1,NA,NA,4.90E-03,0,0,Wol,50,NA,NA,-5.319406712,6,68,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,264,Wol,50,3,4.6364,597400,0.105537714,1.06E-02,10.04,Wol,50,33853.33177,10.4297927,-2.24868691,6,69,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,6,70,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,120,Wol,50,3,5.4,3466000,0.135670799,1.56E-02,11.46,Wol,50,196410.5255,12.18796227,-1.997523925,6,71,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,202,Wol,50,2,7.1552,197300000,7.78425941,0.29736,3.82,Wol,50,11180552.99,16.22968649,2.05210367,6,72,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,130,Wol,50,2,5,1380000,1.037281051,7.93E-02,7.64,Wol,50,78201.5364,11.26704457,3.66E-02,7,73,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,226,Wol,50,3,5,1380000,0.185495751,1.07E-02,5.74,Wol,50,78201.5364,11.26704457,-1.684723306,7,74,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,408,Wol,50,1,7,138000000,13.02388117,0.32214,2.47,Wol,50,7820153.64,15.87221476,2.566784685,7,75,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,288,Wol,50,3,6.4,34660000,23.73327925,2.93519,12.37,Wol,50,1964105.255,14.49054736,3.166878251,7,76,NA,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,7,77,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,10,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,7,78,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,82,Wol,50,2,NA,NA,5.60E-03,6.50E-04,11.64,Wol,50,NA,NA,-5.185833788,7,79,NON-DETECT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,120,Wol,50,1,NA,NA,9.47E-04,1.10E-04,11.9,Wol,50,NA,NA,-6.962551332,7,NA,REPEAT,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
